Input/Output,Unit,CHP_CR_ssp126_2025,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2030,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2035,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2040,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2045,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2050,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2055,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2060,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
NH3(gas),kg/tBR,0,0,0,0,0,0,0,4.160546749,0.351208615,4.160546749,0,0,0,0,0,0,0,0,0,0,0,3.931533341,0.331876665,3.931533341,0,0,0,0,0,0,0,0,0,0,0,3.3928,0.2864,3.3928,0,0,0,0,0,0,0,0,0,0,0,2.854066659,0.240923335,2.854066659,0,0,0,0,0,0,0,0,0,0,0,2.625053251,0.221591385,2.625053251,0,0,0,0,0,0,0,0,0,0,0,2.563238249,0.21637333,2.563238249,0,0,0,0,0,0,0,0,0,0,0,2.548794558,0.21515408,2.548794558,0,0,0,0,0,0,0,0,0,0,0,2.545537734,0.214879158,2.545537734,0,0,0,0
NH3-N,kg/tBR,0,0,2.289723205,0,0,0,0,0,0,0,0,0,0,0,0,0,2.163687531,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570712469,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444676795,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41065741,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402708441,0,0,0,0,0,0,0,0,0,0,0,0,0,1.400916074,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,46.22611714,74.76917483,38.99102347,8.966677506,231.1236016,0,117.555802,26.74375121,31.55481872,30.46509098,18.05517402,11.9244154,117.555802,118.3062232,43.68164373,70.65357548,36.84479902,8.883090301,228.9690716,0,111.0850528,25.27166642,29.81791321,28.78816852,17.88686401,11.2680471,111.0850528,117.2033747,37.696,60.972,31.796,8.337734656,214.9120743,0,95.8632,21.80872,25.732,24.84336,16.78874366,9.724,95.8632,110.0079596,31.71035627,51.29042452,26.74720098,6.286,162.0269,0,80.64134724,18.34577358,21.64608679,20.89855148,12.6574,8.179952897,80.64134724,82.9374,29.16588286,47.17482517,24.60097653,4.234265344,109.1417257,0,74.17059798,16.87368879,19.90918128,19.22162902,8.526056342,7.523584595,74.17059798,55.86684036,28.47908189,46.06394793,24.02167041,3.688909699,95.08472844,0,72.42402174,16.47634558,19.440358,18.76899629,7.427935989,7.346418515,72.42402174,48.67142528,28.318604,45.80438039,23.88630976,3.605322494,92.9301984,0,72.01591678,16.38350237,19.33081277,18.66323413,7.259625983,7.305021894,72.01591678,47.5685768,28.28241877,45.74585201,23.85578807,3.593806867,92.63337349,0,71.92389556,16.3625677,19.30611205,18.63938644,7.236438281,7.29568761,71.92389556,47.41663977
CO,kg/tBR,0.022563682,0.188357693,0.272726243,0.882688521,0,33.34127371,0.166775041,0.347284496,0.039241186,0.347284496,0.10883829,39.49723477,0.166775041,1.56167969,0.021321685,0.17798972,0.257714282,0.874460114,0,31.50603446,0.157595064,0.328168546,0.037081192,0.328168546,0.107823702,37.32314639,0.157595064,1.547121741,0.0184,0.1536,0.2224,0.82077477,0,27.1888,0.136,0.2832,0.032,0.2832,0.101204129,32.2088,0.136,1.452139978,0.015478315,0.12921028,0.187085718,0.6188,0,22.87156554,0.114404936,0.238231454,0.026918808,0.238231454,0.0763,27.09445361,0.114404936,1.0948,0.014236318,0.118842307,0.172073757,0.41682523,0,21.03632629,0.105224959,0.219115504,0.024758814,0.219115504,0.051395871,24.92036523,0.105224959,0.737460022,0.01390108,0.116043797,0.168021748,0.363139886,0,20.54096089,0.102747112,0.213955751,0.024175791,0.213955751,0.044776298,24.33353812,0.102747112,0.642478259,0.013822748,0.115389897,0.167074956,0.354911479,0,20.42521383,0.102168138,0.212750123,0.024039562,0.212750123,0.04376171,24.19642011,0.102168138,0.62792031,0.013805086,0.115242453,0.166861469,0.35377787,0,20.39911469,0.102037589,0.212478273,0.024008844,0.212478273,0.043621932,24.16550217,0.102037589,0.625914693
H2S,kg/tBR,0,0,0.00098103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000604395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600221,0,0,0,0,0,0,0,0,0,0,0
CH4,kg/tBR,0.002943089,0.032373978,1.636161251,0.433256277,0.007988131,17.5457153,3.069641777,4.632422011,2.785143178,9.256995784,0.001997033,0.031392949,3.069641777,0.030954009,0.002781089,0.030591983,1.546100285,0.42921747,0.007913666,16.5799278,2.900676214,4.377434671,2.631837575,8.747453103,0.001978417,0.029664953,2.900676214,0.030665456,0.0024,0.0264,1.33424,0.402866711,0.007427826,14.308,2.5032,3.7776,2.2712,7.5488,0.001856956,0.0256,2.5032,0.028782826,0.002018911,0.022208017,1.122379715,0.30373,0.0056,12.0360722,2.105723786,3.177765329,1.910562425,6.350146897,0.0014,0.021535047,2.105723786,0.0217,0.001856911,0.020426022,1.032318749,0.204593289,0.003772174,11.0702847,1.936758223,2.922777989,1.757256822,5.840604216,0.000943044,0.019807051,1.936758223,0.014617174,0.001813184,0.019945028,1.008009609,0.17824253,0.003286334,10.80960059,1.891151257,2.853952137,1.715876772,5.703069116,0.000821583,0.019340633,1.891151257,0.012734544,0.001802967,0.019832639,1.002329536,0.174203723,0.003211869,10.74868915,1.880494735,2.837870291,1.706207911,5.670932669,0.000802967,0.01923165,1.880494735,0.012445991,0.001800663,0.019807297,1.00104877,0.173647305,0.00320161,10.73495458,1.878091858,2.834244088,1.704027735,5.663686408,0.000800402,0.019207076,1.878091858,0.012406238
NO3N,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx,kg/tBR,0.669062222,0.377696416,0.537604249,2.660047759,1.107354717,0.67298634,2.339755717,0.164812981,0.535642189,0.164812981,1.311052067,0.465008054,2.339755717,2.935638293,0.632234317,0.356906469,0.508012325,2.635250842,1.097031976,0.635942436,2.21096605,0.155741005,0.506158266,0.155741005,1.298830464,0.439412121,2.21096605,2.908272326,0.5456,0.308,0.4384,2.473466049,1.029682376,0.5488,1.908,0.1344,0.4368,0.1344,1.219091938,0.3792,1.908,2.729726046,0.458965683,0.259093531,0.368787675,1.8648,0.7763,0.461657564,1.60503395,0.113058995,0.367441734,0.113058995,0.9191,0.318987879,1.60503395,2.058,0.422137778,0.238303584,0.339195751,1.256133951,0.522917624,0.42461366,1.476244283,0.103987019,0.337957811,0.103987019,0.619108062,0.293391946,1.476244283,1.386273954,0.412197238,0.232691989,0.331208338,1.094349158,0.455568024,0.414614817,1.441481543,0.101538323,0.329999548,0.101538323,0.539369536,0.286483124,1.441481543,1.207727674,0.409874532,0.231380784,0.329341999,1.069552241,0.445245283,0.412278488,1.433358882,0.10096616,0.328140021,0.10096616,0.527147933,0.284868809,1.433358882,1.180361707,0.409350798,0.231085128,0.328921169,1.066136024,0.443823142,0.411751682,1.431527351,0.100837147,0.327720727,0.100837147,0.525464189,0.284504807,1.431527351,1.176591558
N2O,kg/tBR,0,0,0.323739785,0.419376899,0.00059911,0,0,0,0,0,0.017873444,0.000294309,0,0.018971812,0,0,0.305919831,0.415467475,0.000593525,0,0,0,0,0,0.017706828,0.000278109,0,0.018794957,0,0,0.264,0.389960864,0.000557087,0,0,0,0,0,0.016619761,0.00024,0,0.017641087,0,0,0.222080169,0.294,0.00042,0,0,0,0,0,0.01253,0.000201891,0,0.0133,0,0,0.204260215,0.198039136,0.000282913,0,0,0,0,0,0.008440239,0.000185691,0,0.008958913,0,0,0.199450276,0.172532525,0.000246475,0,0,0,0,0,0.007353172,0.000181318,0,0.007805043,0,0,0.198326386,0.168623101,0.00024089,0,0,0,0,0,0.007186556,0.000180297,0,0.007628188,0,0,0.198072967,0.168084508,0.000240121,0,0,0,0,0,0.007163602,0.000180066,0,0.007603823
NMHC(Hydrocarbon),kg/tBR,0.079463402,0.015696474,0,0.320523773,0,2.926411448,0.183452545,0,0,0,0.030954009,0.020601623,0.183452545,0.975550548,0.075089413,0.014832477,0,0.317535856,0,2.765329865,0.173354571,0,0,0,0.030665456,0.019467626,0.173354571,0.966456484,0.0648,0.0128,0,0.298041517,0,2.3864,0.1496,0,0,0,0.028782826,0.0168,0.1496,0.907123247,0.054510587,0.010767523,0,0.2247,0,2.007470135,0.125845429,0,0,0,0.0217,0.014132374,0.125845429,0.6839,0.050136598,0.009903526,0,0.151358483,0,1.846388552,0.115747455,0,0,0,0.014617174,0.012998377,0.115747455,0.460676753,0.048955977,0.009670316,0,0.131864144,0,1.80290962,0.113021823,0,0,0,0.012734544,0.01269229,0.113021823,0.401343516,0.048680113,0.009615825,0,0.128876227,0,1.792750334,0.112384952,0,0,0,0.012445991,0.01262077,0.112384952,0.392249452,0.04861791,0.009603538,0,0.128464588,0,1.790459575,0.112241348,0,0,0,0.012406238,0.012604643,0.112241348,0.390996582
NMVOC,kg/tBR,0,0.020601623,7.828616613,0.009985164,0,0,0,0.259972857,0,0.259972857,0.025961427,5.947001743,0,0,0,0.019467626,7.397697728,0.009892083,0,0,0,0.245662894,0,0.245662894,0.025719415,5.61965459,0,0,0,0.0168,6.384,0.009284782,0,0,0,0.212,0,0.212,0.024140434,4.8496,0,0,0,0.014132374,5.370302272,0.007,0,0,0,0.178337106,0,0.178337106,0.0182,4.07954541,0,0,0,0.012998377,4.939383387,0.004715218,0,0,0,0.164027143,0,0.164027143,0.012259566,3.752198257,0,0,0,0.01269229,4.823070321,0.004107917,0,0,0,0.160164616,0,0.160164616,0.010680585,3.663841138,0,0,0,0.01262077,4.795892613,0.004014836,0,0,0,0.159262098,0,0.159262098,0.010438573,3.643195617,0,0,0,0.012604643,4.789764469,0.004002012,0,0,0,0.159058595,0,0.159058595,0.010405231,3.638540378,0,0
PM10,kg/tBR,0.040222216,0.1952249,13.70007907,0.970557966,0,0.949636702,3.835825934,0.001962059,0,0.001962059,0.015976263,1.704048503,3.835825934,0.155768562,0.038008221,0.184478928,12.94597102,0.961510442,0,0.897364837,3.624686481,0.00185406,0,0.00185406,0.015827332,1.610250746,3.624686481,0.154316491,0.0328,0.1592,11.172,0.902480856,0,0.7744,3.128,0.0016,0,0.0016,0.014855652,1.3896,3.128,0.144842606,0.027591779,0.133921072,9.398028976,0.6804,0,0.651435163,2.631313519,0.00134594,0,0.00134594,0.0112,1.168949254,2.631313519,0.1092,0.025377784,0.1231751,8.643920928,0.458319144,0,0.599163298,2.420174066,0.001237941,0,0.001237941,0.007544348,1.075151497,2.420174066,0.073557394,0.024780186,0.120274561,8.440373062,0.399289558,0,0.585054144,2.363183578,0.00120879,0,0.00120879,0.006572668,1.049833728,2.363183578,0.064083509,0.024640551,0.119596821,8.392812073,0.390242034,0,0.5817574,2.349867183,0.001201978,0,0.001201978,0.006423737,1.043917979,2.349867183,0.062631438,0.024609066,0.119444001,8.382087821,0.388995576,0,0.581014036,2.346864546,0.001200442,0,0.001200442,0.006403219,1.042584071,2.346864546,0.062431389
PM2.5,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0.275669332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260495371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189104629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173930668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169834932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168877923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168662132,0,0
PO4-,kg/tBR,0,0,0,0,0,0,0,0.121647677,0,0.121647677,0,0,0,0,0,0,0,0,0,0,0,0.114951694,0,0.114951694,0,0,0,0,0,0,0,0,0,0,0,0.0992,0,0.0992,0,0,0,0,0,0,0,0,0,0,0,0.083448306,0,0.083448306,0,0,0,0,0,0,0,0,0,0,0,0.076752323,0,0.076752323,0,0,0,0,0,0,0,0,0,0,0,0.074944952,0,0.074944952,0,0,0,0,0,0,0,0,0,0,0,0.074522642,0,0.074522642,0,0,0,0,0,0,0,0,0,0,0,0.074427418,0,0.074427418,0,0,0,0
TN,kg/tBR,0,0,0,0.003994066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003956833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003713913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001886087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001643167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001600805,0,0,0,0,0,0,0,0,0,0
TP,kg/tBR,0,0,0,0.026959944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026708623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025068913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012731087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011091377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010840056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010805433,0,0,0,0,0,0,0,0,0,0
SO2,kg/tBR,0.009810297,0.039241186,0.896464895,3.659562702,0.052921371,1.061474082,5.659560055,0.065728987,0.263896976,0.065728987,0.004992582,0.059842809,5.659560055,0.025961427,0.009270298,0.037081192,0.847119823,3.625448324,0.052428039,1.003046233,5.348034861,0.062110996,0.249371014,0.062110996,0.004946041,0.056548817,5.348034861,0.025719415,0.008,0.032,0.73104,3.402872774,0.049209347,0.8656,4.6152,0.0536,0.2152,0.0536,0.004642391,0.0488,4.6152,0.024140434,0.006729702,0.026918808,0.614960177,2.5655,0.0371,0.728153767,3.882365139,0.045089004,0.181028986,0.045089004,0.0035,0.041051183,3.882365139,0.0182,0.006189703,0.024758814,0.565615105,1.728127226,0.024990653,0.669725918,3.570839945,0.041471013,0.166503024,0.041471013,0.002357609,0.037757191,3.570839945,0.012259566,0.006043948,0.024175791,0.552295947,1.505551676,0.021771961,0.653955149,3.486753469,0.04049445,0.162582195,0.04049445,0.002053959,0.036868081,3.486753469,0.010680585,0.00600989,0.024039562,0.549183793,1.471437298,0.021278629,0.650270151,3.467105825,0.040266266,0.161666054,0.040266266,0.002007418,0.036660332,3.467105825,0.010438573,0.006002211,0.024008844,0.548482052,1.466737435,0.021210664,0.649439243,3.462675592,0.040214814,0.161459479,0.040214814,0.002001006,0.036613488,3.462675592,0.010405231
