"","region","item","avg_RPR","min_RPR","max_RPR","crop"
"129","reg23","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"130","reg23","Wheat",1.50268935899356,1.46926882276634,1.52859769753447,"Wheat"
"131","reg24","Barley",0.520031550676523,0.430072619858341,0.591174406433511,"OtherGrain"
"132","reg24","Maize (corn)",1.46626297960465,1.30265062586066,1.57385768790218,"Corn"
"133","reg24","Rice",1.51699639515542,1.50167030395468,1.55355775197871,"Rice"
"134","reg24","Beans, dry",2.96986374311952,2.87005121832447,3.12248973542506,"Soybean"
"135","reg24","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"136","reg24","Wheat",1.48777373226652,1.3906183127721,1.54898035281474,"Wheat"
"137","reg25","Barley",0.363310865546392,0.238468941569177,0.506049291118063,"OtherGrain"
"138","reg25","Maize (corn)",1.48952333457443,1.38049431128337,1.66158095490714,"Corn"
"139","reg25","Rice",1.92788522875748,1.9210871015942,1.93386158378784,"Rice"
"140","reg25","Beans, dry",3.10025203280758,3.03098265558468,3.17026149720354,"Soybean"
"141","reg25","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"142","reg25","Wheat",1.35377649155882,1.25402424677218,1.52148963437976,"Wheat"
"143","reg26","Maize (corn)",1.78613160879233,1.70088667994956,1.95228227051572,"Corn"
"144","reg26","Rice",1.65528551751067,1.63173287875889,1.72123777452652,"Rice"
"145","reg26","Beans, dry",3.25717506142771,3.12488060393721,3.37501198597564,"Soybean"
"146","reg26","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"147","reg26","Wheat",1.52404660943533,1.50148779154316,1.53769059549907,"Wheat"
"148","reg27","Barley",0.41146085759614,0.361911351020966,0.470928078677964,"OtherGrain"
"149","reg27","Maize (corn)",1.72140835305184,1.66475934030909,1.78325973091638,"Corn"
"150","reg27","Rice",1.47946697686403,1.45846725246877,1.50093217945434,"Rice"
"151","reg27","Beans, dry",3.17178690184372,3.14610128982671,3.18925222537042,"Soybean"
"152","reg27","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"153","reg27","Wheat",1.45830855133186,1.40291715146329,1.4798867174848,"Wheat"
"154","reg28","Barley",0.895248932157705,0.866153209974455,0.921419626624342,"OtherGrain"
"155","reg28","Maize (corn)",1.651853935735,1.59261893755942,1.70633079953117,"Corn"
"156","reg28","Rice",1.65176984717464,1.63268506942298,1.65995802389832,"Rice"
"157","reg28","Beans, dry",3.28393683326258,3.24854084639565,3.30426166320376,"Soybean"
"158","reg28","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"159","reg28","Wheat",1.61463989709354,1.59179520424874,1.63726356382923,"Wheat"
"160","reg29","Barley",0.695856623607687,0.664713964771616,0.73878505600987,"OtherGrain"
"161","reg29","Maize (corn)",1.76839341395852,1.75387693223135,1.77875835869546,"Corn"
"162","reg29","Rice",1.74605063108216,1.73981650299765,1.75500424026996,"Rice"
"163","reg29","Beans, dry",3.27107977979424,3.2652692241776,3.27453178116325,"Soybean"
"164","reg29","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"165","reg29","Wheat",1.8117212276484,1.80001357219119,1.8497835613332,"Wheat"
"166","reg30","Barley",0.441366304745783,0.392743637770241,0.505256427597036,"OtherGrain"
"167","reg30","Maize (corn)",1.47666749489639,1.44752113531773,1.56361356691184,"Corn"
"168","reg30","Rice",1.37786512091234,1.34781777898299,1.42061180093779,"Rice"
"169","reg30","Beans, dry",3.01920006829122,2.8810559484569,3.11560537645448,"Soybean"
"170","reg30","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"171","reg30","Wheat",1.3102559853083,1.23797871067514,1.44453139892301,"Wheat"
"172","reg31","Barley",0.25797389376769,0.247032295185515,0.264897796449609,"OtherGrain"
"173","reg31","Maize (corn)",1.3769144983913,1.35530325214702,1.38933835693727,"Corn"
"174","reg31","Rice",1.35132635983857,1.34575880943982,1.35623329957939,"Rice"
"175","reg31","Beans, dry",2.82441145934938,2.81771049986919,2.8274071088491,"Soybean"
"176","reg31","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"177","reg31","Wheat",1.05000050314218,1.03778608279712,1.06797707779382,"Wheat"
"178","reg32","Barley",0.277711862302251,0.235150345536447,0.369953409640777,"OtherGrain"
"179","reg32","Maize (corn)",0.866657562660604,0.84397655063007,0.899649560788995,"Corn"
"180","reg32","Rice",1.20164793203995,1.18553437766693,1.22232260634876,"Rice"
"181","reg32","Beans, dry",2.63785869174326,2.5371192293734,2.75801515896742,"Soybean"
"182","reg32","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"183","reg32","Wheat",1.44721641826642,1.40414121013849,1.49507530613071,"Wheat"
"184","reg19","Barley",0.482647033095722,0.123158481981795,1.23907840895444,"OtherGrain"
"185","reg26","Barley",0.482647033095722,0.123158481981795,1.23907840895444,"OtherGrain"
"186","reg8","Rice",1.57262063877104,0.968032153875818,2.30317919455503,"Rice"
"187","reg16","Rice",1.57262063877104,0.968032153875818,2.30317919455503,"Rice"
"188","reg17","Rice",1.57262063877104,0.968032153875818,2.30317919455503,"Rice"
"189","reg13","Beans, dry",3.04401122353508,1.68708609122003,3.59400965837407,"Soybean"
"190","reg14","Beans, dry",3.04401122353508,1.68708609122003,3.59400965837407,"Soybean"
"191","reg16","Beans, dry",3.04401122353508,1.68708609122003,3.59400965837407,"Soybean"
"192","reg19","Wheat",1.42414725187032,0.933297435038777,2.04071692015647,"Wheat"
