Input/Output,Unit,CHP_CR_ssp245_2025,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2030,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2035,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2040,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2045,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2050,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2055,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2060,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
diesel,MJ/tBR,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264
electricity(input),kwh/tBR,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0
heat_input,MJ/tBR,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0
nature gas,MJ/tBR,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
electricity(output),kwh/tBR,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0
heat_output,MJ/tBR,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0
briquette fuel,MJ/tBR,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0
biochar,t/tBR,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0
bioethanol,MJ/tBR,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426
biogas,MJ/tBR,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0
NH3(gas),kg/tBR,0,0,0,0,0,0,0,4.038784163,0.340930142,4.038784163,0,0,0,0,0,0,0,0,0,0,0,3.784767773,0.319487588,3.784767773,0,0,0,0,0,0,0,0,0,0,0,3.3928,0.2864,3.3928,0,0,0,0,0,0,0,0,0,0,0,3.000832227,0.253312412,3.000832227,0,0,0,0,0,0,0,0,0,0,0,2.746815837,0.231869858,2.746815837,0,0,0,0,0,0,0,0,0,0,0,2.625053251,0.221591385,2.625053251,0,0,0,0,0,0,0,0,0,0,0,2.575111807,0.217375625,2.575111807,0,0,0,0,0,0,0,0,0,0,0,2.555953752,0.215758416,2.555953752,0,0,0,0
NH3-N,kg/tBR,0,0,2.222712152,0,0,0,0,0,0,0,0,0,0,0,0,0,2.082916289,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,1.651483711,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511687848,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444676795,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417191926,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406648446,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,44.87326333,72.58097972,37.84991195,8.920802353,229.9411312,0,114.1154132,25.96106843,30.63133521,29.57349945,17.96280046,11.57543539,114.1154132,117.700947,42.05099209,68.01605183,35.46936928,8.724469395,224.8804852,0,106.9382074,24.32826592,28.70479967,27.71349572,17.56746722,10.84740681,106.9382074,115.1105326,37.696,60.972,31.796,7.997091278,206.1317068,0,95.8632,21.80872,25.732,24.84336,16.10282901,9.724,95.8632,105.5135155,33.34100791,53.92794817,28.12263072,6.286,162.0269,0,84.78819263,19.28917408,22.75920033,21.97322428,12.6574,8.600593191,84.78819263,82.9374,30.51873667,49.36302028,25.74208805,4.574908722,117.9220932,0,77.61098678,17.65637157,20.83266479,20.11322055,9.211970993,7.872564607,77.61098678,60.36128455,29.16588286,47.17482517,24.60097653,3.847530605,99.17331475,0,74.17059798,16.87368879,19.90918128,19.22162902,7.747332783,7.523584595,74.17059798,50.76426738,28.61100409,46.2773276,24.13294477,3.651197647,94.11266879,0,72.75950782,16.55266811,19.53041058,18.85593894,7.351999538,7.380448953,72.75950782,48.17385296,28.39814685,45.93303825,23.95340294,3.605322494,92.9301984,0,72.21819905,16.42952126,19.38511022,18.71565645,7.259625983,7.325540641,72.21819905,47.5685768
CO,kg/tBR,0.021903333,0.182845216,0.264744635,0.878172526,0,32.3655078,0.161894201,0.337120866,0.038092753,0.337120866,0.108281454,38.34130846,0.161894201,1.553689853,0.020525739,0.171345299,0.248093714,0.858845317,0,30.32990274,0.151711983,0.315917895,0.035696937,0.315917895,0.105898348,35.92985977,0.151711983,1.519495561,0.0184,0.1536,0.2224,0.787241502,0,27.1888,0.136,0.2832,0.032,0.2832,0.097069371,32.2088,0.136,1.392811888,0.016274261,0.135854701,0.196706286,0.6188,0,24.04769726,0.120288017,0.250482105,0.028303063,0.250482105,0.0763,28.48774023,0.120288017,1.0948,0.014896667,0.124354784,0.180055365,0.450358498,0,22.0120922,0.110105799,0.229279134,0.025907247,0.229279134,0.055530629,26.07629154,0.110105799,0.796788112,0.014236318,0.118842307,0.172073757,0.378754683,0,21.03632629,0.105224959,0.219115504,0.024758814,0.219115504,0.046701652,24.92036523,0.105224959,0.670104439,0.013965473,0.116581341,0.168800067,0.359427474,0,20.63611173,0.103223062,0.214946847,0.024287779,0.214946847,0.044318546,24.44625712,0.103223062,0.635910147,0.013861574,0.115714011,0.167544245,0.354911479,0,20.48258529,0.102455114,0.213347708,0.024107086,0.213347708,0.04376171,24.26438435,0.102455114,0.62792031
H2S,kg/tBR,0,0,0.000952319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000892423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000707577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602677,0,0,0,0,0,0,0,0,0,0,0
