Input/Output,Unit,CHP_CR_ssp245_2025,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2030,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2035,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2040,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2045,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2050,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2055,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp245_2060,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
CH4,kg/tBR,0.002856956,0.031426521,1.588277347,0.431039659,0.007947263,17.0322223,2.979805623,4.496849521,2.703633162,8.986080491,0.001986816,0.030474203,2.979805623,0.030795643,0.00267727,0.029449973,1.488383799,0.421553148,0.007772356,15.96099307,2.792392917,4.214023443,2.533590122,8.420907499,0.001943089,0.02855755,2.792392917,0.030117879,0.0024,0.0264,1.33424,0.386407339,0.007124357,14.308,2.5032,3.7776,2.2712,7.5488,0.001781089,0.0256,2.5032,0.027606885,0.00212273,0.023350027,1.180096201,0.30373,0.0056,12.65500693,2.214007083,3.341176557,2.008809878,6.676692501,0.0014,0.02264245,2.214007083,0.0217,0.001943044,0.021373479,1.080202653,0.221052661,0.004075643,11.5837777,2.026594377,3.058350479,1.838766838,6.111519509,0.001018911,0.020725797,2.026594377,0.015793115,0.001856911,0.020426022,1.032318749,0.185906852,0.003427644,11.0702847,1.936758223,2.922777989,1.757256822,5.840604216,0.000856911,0.019807051,1.936758223,0.013282121,0.001821583,0.020037418,1.01267896,0.176420341,0.003252737,10.85967335,1.89991154,2.867172353,1.72382514,5.729487151,0.000813184,0.019430223,1.89991154,0.012604357,0.001808031,0.019888346,1.005144935,0.174203723,0.003211869,10.77888066,1.885776772,2.845841457,1.711000402,5.686861497,0.000802967,0.019285668,1.885776772,0.012445991
NO3N,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx,kg/tBR,0.649481443,0.36664275,0.521870719,2.646438471,1.101689288,0.653290718,2.271280412,0.159989564,0.519966082,0.159989564,1.304344487,0.451399126,2.271280412,2.920619033,0.60863278,0.343583021,0.48904804,2.588194484,1.077442824,0.612202474,2.128429884,0.149927136,0.487263194,0.149927136,1.275637897,0.423008707,2.128429884,2.85634076,0.5456,0.308,0.4384,2.372411043,0.987614056,0.5488,1.908,0.1344,0.4368,0.1344,1.169285172,0.3792,1.908,2.618201376,0.48256722,0.272416979,0.38775196,1.8648,0.7763,0.485397526,1.687570116,0.118872864,0.386336806,0.118872864,0.9191,0.335391293,1.687570116,2.058,0.441718557,0.24935725,0.354929281,1.357188957,0.564985944,0.444309282,1.544719588,0.108810436,0.353633918,0.108810436,0.668914828,0.307000874,1.544719588,1.497798624,0.422137778,0.238303584,0.339195751,1.141405516,0.475157176,0.42461366,1.476244283,0.103987019,0.337957811,0.103987019,0.562562103,0.293391946,1.476244283,1.25965924,0.414106638,0.233769876,0.332742577,1.083161529,0.450910712,0.416535416,1.448158844,0.102008673,0.331528188,0.102008673,0.533855513,0.287810185,1.448158844,1.195380967,0.41102581,0.232030699,0.330267073,1.069552241,0.445245283,0.413436518,1.43738498,0.10124976,0.329061719,0.10124976,0.527147933,0.285668965,1.43738498,1.180361707
N2O,kg/tBR,0,0,0.314265214,0.41723129,0.000596045,0,0,0,0,0,0.017782,0.000285696,0,0.018874749,0,0,0.294499732,0.40804868,0.000582927,0,0,0,0,0,0.017390646,0.000267727,0,0.018459345,0,0,0.264,0.374028768,0.000534327,0,0,0,0,0,0.01594075,0.00024,0,0.016920349,0,0,0.233500268,0.294,0.00042,0,0,0,0,0,0.01253,0.000212273,0,0.0133,0,0,0.213734786,0.213971232,0.000305673,0,0,0,0,0,0.00911925,0.000194304,0,0.009679651,0,0,0.204260215,0.17995132,0.000257073,0,0,0,0,0,0.007669354,0.000185691,0,0.008140655,0,0,0.20037418,0.17076871,0.000243955,0,0,0,0,0,0.007278,0.000182158,0,0.007725251,0,0,0.198883456,0.168623101,0.00024089,0,0,0,0,0,0.007186556,0.000180803,0,0.007628188
NMHC(Hydrocarbon),kg/tBR,0.077137825,0.015237101,0,0.318883915,0,2.840767073,0.178083621,0,0,0,0.030795643,0.019998695,0.178083621,0.970559454,0.072286298,0.014278775,0,0.311865777,0,2.662099096,0.166883182,0,0,0,0.030117879,0.018740892,0.166883182,0.949198953,0.0648,0.0128,0,0.285864844,0,2.3864,0.1496,0,0,0,0.027606885,0.0168,0.1496,0.870062158,0.057313702,0.011321225,0,0.2247,0,2.110700904,0.132316818,0,0,0,0.0217,0.014859108,0.132316818,0.6839,0.052462175,0.010362899,0,0.163535156,0,1.932032927,0.121116379,0,0,0,0.015793115,0.013601305,0.121116379,0.497737842,0.050136598,0.009903526,0,0.137534223,0,1.846388552,0.115747455,0,0,0,0.013282121,0.012998377,0.115747455,0.418601047,0.049182753,0.009715112,0,0.130516085,0,1.811261146,0.113545369,0,0,0,0.012604357,0.012751084,0.113545369,0.397240546,0.048816848,0.009642834,0,0.128876227,0,1.79778591,0.112700625,0,0,0,0.012445991,0.01265622,0.112700625,0.392249452
NMVOC,kg/tBR,0,0.019998695,7.599504273,0.009934078,0,0,0,0.25236449,0,0.25236449,0.025828604,5.772956755,0,0,0,0.018740892,7.121538983,0.009715445,0,0,0,0.236492209,0,0.236492209,0.025260156,5.409870841,0,0,0,0.0168,6.384,0.008905447,0,0,0,0.212,0,0.212,0.023154162,4.8496,0,0,0,0.014859108,5.646461017,0.007,0,0,0,0.187507791,0,0.187507791,0.0182,4.289329159,0,0,0,0.013601305,5.168495727,0.005094553,0,0,0,0.17163551,0,0.17163551,0.013245838,3.926243245,0,0,0,0.012998377,4.939383387,0.004284555,0,0,0,0.164027143,0,0.164027143,0.011139844,3.752198257,0,0,0,0.012751084,4.845411982,0.004065922,0,0,0,0.160906538,0,0.160906538,0.010571396,3.680812962,0,0,0,0.01265622,4.80936358,0.004014836,0,0,0,0.159709442,0,0.159709442,0.010438573,3.653428825,0,0
PM10,kg/tBR,0.039045072,0.189511447,13.29913248,0.965592415,0,0.921844629,3.72356663,0.001904638,0,0.001904638,0.015894525,1.65417781,3.72356663,0.154971622,0.036589361,0.177592263,12.46269322,0.944341231,0,0.863865882,3.489375617,0.001784847,0,0.001784847,0.015544712,1.5501395,3.489375617,0.151560938,0.0328,0.1592,11.172,0.865609435,0,0.7744,3.128,0.0016,0,0.0016,0.014248715,1.3896,3.128,0.138924971,0.029010639,0.140807737,9.88130678,0.6804,0,0.684934118,2.766624383,0.001415153,0,0.001415153,0.0112,1.2290605,2.766624383,0.1092,0.026554928,0.128888553,9.044867522,0.495190565,0,0.626955371,2.53243337,0.001295362,0,0.001295362,0.008151285,1.12502219,2.53243337,0.079475029,0.025377784,0.1231751,8.643920928,0.416458769,0,0.599163298,2.420174066,0.001237941,0,0.001237941,0.006855288,1.075151497,2.420174066,0.066839062,0.024894974,0.120831702,8.479470969,0.395207585,0,0.58776426,2.374130432,0.001214389,0,0.001214389,0.006505475,1.054696819,2.374130432,0.063428378,0.024709763,0.119932751,8.416386265,0.390242034,0,0.583391472,2.356467619,0.001205354,0,0.001205354,0.006423737,1.046850193,2.356467619,0.062631438
PM2.5,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0.267601592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250770984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198829016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181998408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173930668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17062165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169352276,0,0
PO4-,kg/tBR,0,0,0,0,0,0,0,0.118087535,0,0.118087535,0,0,0,0,0,0,0,0,0,0,0,0.110660506,0,0.110660506,0,0,0,0,0,0,0,0,0,0,0,0.0992,0,0.0992,0,0,0,0,0,0,0,0,0,0,0,0.087739494,0,0.087739494,0,0,0,0,0,0,0,0,0,0,0,0.080312465,0,0.080312465,0,0,0,0,0,0,0,0,0,0,0,0.076752323,0,0.076752323,0,0,0,0,0,0,0,0,0,0,0,0.075292116,0,0.075292116,0,0,0,0,0,0,0,0,0,0,0,0.074731965,0,0.074731965,0,0,0,0
TN,kg/tBR,0,0,0,0.003973631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003886178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003562179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002037821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001713822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001626369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605934,0,0,0,0,0,0,0,0,0,0
TP,kg/tBR,0,0,0,0.026822012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026231701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024044707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013755293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011568299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010977988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010840056,0,0,0,0,0,0,0,0,0,0
SO2,kg/tBR,0.009523188,0.038092753,0.870228948,3.640839713,0.052650615,1.030408975,5.493927337,0.063805362,0.256173766,0.063805362,0.004967039,0.058091449,5.493927337,0.025828604,0.008924234,0.035696937,0.815496532,3.560710505,0.051491857,0.965602153,5.148390776,0.05979237,0.240061903,0.05979237,0.004857722,0.054437829,5.148390776,0.025260156,0.008,0.032,0.73104,3.263846273,0.047198868,0.8656,4.6152,0.0536,0.2152,0.0536,0.004452723,0.0488,4.6152,0.023154162,0.007075766,0.028303063,0.646583468,2.5655,0.0371,0.765597847,4.082009224,0.04740763,0.190338097,0.04740763,0.0035,0.043162171,4.082009224,0.0182,0.006476812,0.025907247,0.591851052,1.867153727,0.027001132,0.700791025,3.736472663,0.043394638,0.174226234,0.043394638,0.002547277,0.039508551,3.736472663,0.013245838,0.006189703,0.024758814,0.565615105,1.570289495,0.022708143,0.669725918,3.570839945,0.041471013,0.166503024,0.041471013,0.002142278,0.037757191,3.570839945,0.011139844,0.006071945,0.024287779,0.554854319,1.490160287,0.021549385,0.656984432,3.502904978,0.04068203,0.163335316,0.04068203,0.002032961,0.037038864,3.502904978,0.010571396,0.006026771,0.024107086,0.550726371,1.471437298,0.021278629,0.652096666,3.476844423,0.040379368,0.162120151,0.040379368,0.002007418,0.036763306,3.476844423,0.010438573
